POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Year
708,Virat  Kohli,14,14,0,464,100,33.14,328,141.46,1,2,46,13,2015
709,Shreyas  Iyer,16,16,1,463,67,30.86,386,119.94,0,3,41,14,2015
710,Jonny  Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,48,18,2015
711,AB  de Villiers,13,13,3,442,82*,44.2,287,154,0,5,31,26,2015
712,Suryakumar  Yadav,16,15,2,424,71*,32.61,324,130.86,0,2,45,10,2015
713,MS  Dhoni,15,12,7,416,84*,83.2,309,134.62,0,3,22,23,2015
714,Chris  Lynn,13,13,0,405,82,31.15,290,139.65,0,4,41,22,2015
715,Rohit  Sharma,15,15,1,405,67,28.92,315,128.57,0,2,52,10,2015
716,Hardik  Pandya,16,15,6,402,91,44.66,210,191.42,0,1,28,29,2015
717,Shane  Watson,17,17,0,398,96,23.41,312,127.56,0,3,42,20,2015
718,Faf  du Plessis,12,12,1,396,96,36,321,123.36,0,3,36,15,2015
719,Ajinkya  Rahane,14,13,1,393,105*,32.75,285,137.89,1,1,45,9,2015
720,Suresh  Raina,17,17,1,383,59,23.93,314,121.97,0,3,45,9,2015
721,Parthiv  Patel,14,14,0,373,67,26.64,268,139.17,0,2,48,10,2015
722,Prithvi  Shaw,16,16,0,353,99,22.06,264,133.71,0,2,45,9,2015
723,Manish  Pandey,12,11,3,344,83*,43,263,130.79,0,3,34,6,2015
724,Nitish  Rana,14,11,1,344,85*,34.4,235,146.38,0,3,27,21,2015
725,Sanju  Samson,12,12,2,342,102*,34.2,230,148.69,1,0,28,13,2015
726,Mayank  Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,26,14,2015
727,Steve  Smith,12,10,2,319,73*,39.87,275,116,0,3,30,4,2015
728,Jos  Buttler,8,8,0,311,89,38.87,205,151.7,0,3,38,14,2015
729,Shubman  Gill,14,13,4,296,76,32.88,238,124.36,0,3,21,10,2015
730,Ambati  Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,20,7,2015
731,Robin  Uthappa,12,11,2,282,67*,31.33,245,115.1,0,1,28,10,2015
732,Kieron  Pollard,16,14,6,279,83,34.87,178,156.74,0,1,14,22,2015
733,Dinesh  Karthik,14,13,5,253,97*,31.62,173,146.24,0,2,22,14,2015
734,Vijay  Shankar,15,14,2,244,40*,20.33,193,126.42,0,0,11,12,2015
735,Moeen  Ali,11,10,2,220,66,27.5,133,165.41,0,2,16,17,2015
736,David  Miller,10,10,2,213,59*,26.62,164,129.87,0,1,19,7,2015
737,Marcus  Stoinis,10,10,6,211,46*,52.75,156,135.25,0,0,14,10,2015
738,Colin  Ingram,12,12,2,184,47,18.4,154,119.48,0,0,20,5,2015
739,Krunal  Pandya,16,15,4,183,42,16.63,150,122,0,0,18,5,2015
740,Sarfaraz  Khan,8,5,1,180,67,45,143,125.87,0,1,19,4,2015
741,Nicholas  Pooran,7,6,0,168,48,28,107,157,0,0,10,14,2015
742,Mandeep  Singh,13,12,8,165,33*,41.25,120,137.5,0,0,10,4,2015
743,Kedar  Jadhav,14,12,3,162,58,18,169,95.85,0,1,19,3,2015
744,Riyan  Parag,7,5,0,160,50,32,126,126.98,0,1,17,5,2015
745,Kane  Williamson,9,9,2,156,70*,22.28,130,120,0,1,12,5,2015
746,Sunil  Narine,12,9,1,143,47,17.87,86,166.27,0,0,17,9,2015
747,Rahul  Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,13,2,2015
748,Ben  Stokes,9,9,3,123,46,20.5,99,124.24,0,0,8,4,2015
749,Mohammad  Nabi,8,7,1,115,31,19.16,76,151.31,0,0,8,7,2015
750,Axar  Patel,14,12,6,110,26,18.33,88,125,0,0,10,3,2015
751,Ravindra  Jadeja,16,9,6,106,31*,35.33,88,120.45,0,0,7,4,2015
752,Ishan  Kishan,7,6,0,101,28,16.83,100,101,0,0,8,4,2015
753,Yuvraj  Singh,4,4,0,98,53,24.5,75,130.66,0,1,7,6,2015
754,Gurkeerat  Mann Singh,3,3,0,98,65,32.66,70,140,0,1,11,2,2015
755,Sam  Curran,9,8,4,95,55*,23.75,55,172.72,0,1,13,3,2015
756,Shimron  Hetmyer,5,5,0,90,75,18,73,123.28,0,1,4,7,2015
757,Wriddhiman  Saha,5,5,0,86,28,17.2,53,162.26,0,0,13,1,2015
758,Colin  Munro,4,4,0,84,40,21,70,120,0,0,9,4,2015
759,Martin  Guptill,3,3,0,81,36,27,53,152.83,0,0,4,7,2015
760,Dwayne  Bravo,12,9,4,80,27,16,66,121.21,0,0,6,3,2015
761,Sherfane  Rutherford,7,7,2,73,28*,14.6,54,135.18,0,0,2,7,2015
762,Liam  Livingstone,4,4,1,71,44,23.66,48,147.91,0,0,6,5,2015
763,Stuart  Binny,8,5,2,70,33*,23.33,40,175,0,0,5,4,2015
764,Jofra  Archer,11,5,3,67,27*,33.5,40,167.5,0,0,4,4,2015
765,Deepak  Hooda,11,7,1,64,20,10.66,63,101.58,0,0,5,1,2015
766,Murali  Vijay,2,2,0,64,38,32,61,104.91,0,0,6,1,2015
767,Shreyas  Gopal,14,7,3,63,19*,15.75,46,136.95,0,0,8,1,2015
768,Akshdeep  Nath,8,5,0,61,24,12.2,57,107.01,0,0,5,2,2015
769,Evin  Lewis,3,3,0,48,32,16,52,92.3,0,0,4,2,2015
770,Colin  de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,4,2,2015
771,Piyush  Chawla,13,5,2,42,14*,14,37,113.51,0,0,4,2,2015
772,Ravichandran  Ashwin,14,6,1,42,17*,8.4,28,150,0,0,3,3,2015
773,Shivam  Dube,4,4,1,40,24,13.33,33,121.21,0,0,1,3,2015
774,Yusuf  Pathan,10,8,5,40,16*,13.33,45,88.88,0,0,1,1,2015
775,Rinku  Singh,5,3,1,37,30,18.5,34,108.82,0,0,1,2,2015
776,Rashid  Khan,15,8,3,34,17*,6.8,23,147.82,0,0,2,2,2015
777,Chris  Morris,9,6,0,32,17,5.33,37,86.48,0,0,1,2,2015
778,Mitchell  Santner,4,2,1,32,22,32,23,139.13,0,0,0,3,2015
779,Rahul  Tewatia,5,4,3,26,11*,26,22,118.18,0,0,2,1,2015
780,Umesh  Yadav,11,7,5,25,14,12.5,25,100,0,0,3,1,2015
781,Amit  Mishra,11,4,2,21,8,10.5,24,87.5,0,0,2,0,2015
782,Harpreet  Brar,2,1,1,20,20*,-,12,166.66,0,0,2,1,2015
783,Prayas  Ray Barman,1,1,0,19,19,19,24,79.16,0,0,2,0,2015
784,Keemo  Paul,8,6,1,18,7,3.6,24,75,0,0,1,1,2015
785,Ben  Cutting,3,3,1,18,13*,9,17,105.88,0,0,1,1,2015
786,Krishnappa  Gowtham,7,4,1,18,9,6,19,94.73,0,0,1,1,2015
787,Simran  Singh,1,1,0,16,16,16,17,94.11,0,0,1,1,2015
788,Alzarri  Joseph,3,2,2,15,15*,-,13,115.38,0,0,2,0,2015
789,Siddhesh  Lad,1,1,0,15,15,15,13,115.38,0,0,1,1,2015
790,Shardul  Thakur,10,3,1,14,12*,7,7,200,0,0,1,1,2015
791,Kagiso  Rabada,12,4,1,14,9,4.66,15,93.33,0,0,0,1,2015
792,Bhuvneshwar  Kumar,15,5,2,12,7*,4,19,63.15,0,0,1,0,2015
793,Kuldeep  Yadav,9,4,2,12,10*,6,8,150,0,0,1,0,2015
794,Rahul  Chahar,13,4,2,12,10,6,11,109.09,0,0,2,0,2015
795,Mitchell  McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,2,0,2015
796,Carlos  Brathwaite,2,2,0,11,6,5.5,10,110,0,0,1,0,2015
797,Ishant  Sharma,13,3,3,10,10*,-,3,333.33,0,0,1,1,2015
798,Shakib  Al Hasan,3,1,0,9,9,9,10,90,0,0,0,0,2015
799,Pawan  Negi,7,4,0,9,5,2.25,12,75,0,0,1,0,2015
800,Tim  Southee,3,1,1,9,9*,-,9,100,0,0,0,0,2015
801,David  Warner,12,12,2,692,100*,69.2,481,143.86,1,8,57,21,2016
802,KL  Rahul,14,14,3,593,100*,53.9,438,135.38,1,6,49,25,2016
803,Quinton  de Kock,16,16,1,529,81,35.26,398,132.91,0,4,45,25,2016
804,Shikhar  Dhawan,16,16,1,521,97*,34.73,384,135.67,0,5,64,11,2016
805,Andre  Russell,14,13,4,510,80*,56.66,249,204.81,0,4,31,52,2016
806,Chris  Gayle,13,13,1,490,99*,40.83,319,153.6,0,4,45,34,2016
807,Rishabh  Pant,16,16,3,488,78*,37.53,300,162.66,0,3,37,27,2016
808,Virat  Kohli,14,14,0,464,100,33.14,328,141.46,1,2,46,13,2016
809,Shreyas  Iyer,16,16,1,463,67,30.86,386,119.94,0,3,41,14,2016
810,Jonny  Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,48,18,2016
811,AB  de Villiers,13,13,3,442,82*,44.2,287,154,0,5,31,26,2016
812,Suryakumar  Yadav,16,15,2,424,71*,32.61,324,130.86,0,2,45,10,2016
813,MS  Dhoni,15,12,7,416,84*,83.2,309,134.62,0,3,22,23,2016
814,Chris  Lynn,13,13,0,405,82,31.15,290,139.65,0,4,41,22,2016
815,Rohit  Sharma,15,15,1,405,67,28.92,315,128.57,0,2,52,10,2016
816,Hardik  Pandya,16,15,6,402,91,44.66,210,191.42,0,1,28,29,2016
817,Shane  Watson,17,17,0,398,96,23.41,312,127.56,0,3,42,20,2016
818,Faf  du Plessis,12,12,1,396,96,36,321,123.36,0,3,36,15,2016
819,Ajinkya  Rahane,14,13,1,393,105*,32.75,285,137.89,1,1,45,9,2016
820,Suresh  Raina,17,17,1,383,59,23.93,314,121.97,0,3,45,9,2016
821,Parthiv  Patel,14,14,0,373,67,26.64,268,139.17,0,2,48,10,2016
822,Prithvi  Shaw,16,16,0,353,99,22.06,264,133.71,0,2,45,9,2016
823,Manish  Pandey,12,11,3,344,83*,43,263,130.79,0,3,34,6,2016
824,Nitish  Rana,14,11,1,344,85*,34.4,235,146.38,0,3,27,21,2016
825,Sanju  Samson,12,12,2,342,102*,34.2,230,148.69,1,0,28,13,2016
826,Mayank  Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,26,14,2016
827,Steve  Smith,12,10,2,319,73*,39.87,275,116,0,3,30,4,2016
828,Jos  Buttler,8,8,0,311,89,38.87,205,151.7,0,3,38,14,2016
829,Shubman  Gill,14,13,4,296,76,32.88,238,124.36,0,3,21,10,2016
830,Ambati  Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,20,7,2016
831,Robin  Uthappa,12,11,2,282,67*,31.33,245,115.1,0,1,28,10,2016
832,Kieron  Pollard,16,14,6,279,83,34.87,178,156.74,0,1,14,22,2016
833,Dinesh  Karthik,14,13,5,253,97*,31.62,173,146.24,0,2,22,14,2016
834,Vijay  Shankar,15,14,2,244,40*,20.33,193,126.42,0,0,11,12,2016
835,Moeen  Ali,11,10,2,220,66,27.5,133,165.41,0,2,16,17,2016
836,David  Miller,10,10,2,213,59*,26.62,164,129.87,0,1,19,7,2016
837,Marcus  Stoinis,10,10,6,211,46*,52.75,156,135.25,0,0,14,10,2016
838,Colin  Ingram,12,12,2,184,47,18.4,154,119.48,0,0,20,5,2016
839,Krunal  Pandya,16,15,4,183,42,16.63,150,122,0,0,18,5,2016
840,Sarfaraz  Khan,8,5,1,180,67,45,143,125.87,0,1,19,4,2016
841,Nicholas  Pooran,7,6,0,168,48,28,107,157,0,0,10,14,2016
842,Mandeep  Singh,13,12,8,165,33*,41.25,120,137.5,0,0,10,4,2016
843,Kedar  Jadhav,14,12,3,162,58,18,169,95.85,0,1,19,3,2016
844,Riyan  Parag,7,5,0,160,50,32,126,126.98,0,1,17,5,2016
845,Kane  Williamson,9,9,2,156,70*,22.28,130,120,0,1,12,5,2016
846,Sunil  Narine,12,9,1,143,47,17.87,86,166.27,0,0,17,9,2016
847,Rahul  Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,13,2,2016
848,Ben  Stokes,9,9,3,123,46,20.5,99,124.24,0,0,8,4,2016
849,Mohammad  Nabi,8,7,1,115,31,19.16,76,151.31,0,0,8,7,2016
850,Axar  Patel,14,12,6,110,26,18.33,88,125,0,0,10,3,2016
851,Ravindra  Jadeja,16,9,6,106,31*,35.33,88,120.45,0,0,7,4,2016
852,Ishan  Kishan,7,6,0,101,28,16.83,100,101,0,0,8,4,2016
853,Yuvraj  Singh,4,4,0,98,53,24.5,75,130.66,0,1,7,6,2016
854,Gurkeerat  Mann Singh,3,3,0,98,65,32.66,70,140,0,1,11,2,2016
855,Sam  Curran,9,8,4,95,55*,23.75,55,172.72,0,1,13,3,2016
856,Shimron  Hetmyer,5,5,0,90,75,18,73,123.28,0,1,4,7,2016
857,Wriddhiman  Saha,5,5,0,86,28,17.2,53,162.26,0,0,13,1,2016
858,Colin  Munro,4,4,0,84,40,21,70,120,0,0,9,4,2016
859,Martin  Guptill,3,3,0,81,36,27,53,152.83,0,0,4,7,2016
860,Dwayne  Bravo,12,9,4,80,27,16,66,121.21,0,0,6,3,2016
861,Sherfane  Rutherford,7,7,2,73,28*,14.6,54,135.18,0,0,2,7,2016
862,Liam  Livingstone,4,4,1,71,44,23.66,48,147.91,0,0,6,5,2016
863,Stuart  Binny,8,5,2,70,33*,23.33,40,175,0,0,5,4,2016
864,Jofra  Archer,11,5,3,67,27*,33.5,40,167.5,0,0,4,4,2016
865,Deepak  Hooda,11,7,1,64,20,10.66,63,101.58,0,0,5,1,2016
866,Murali  Vijay,2,2,0,64,38,32,61,104.91,0,0,6,1,2016
867,Shreyas  Gopal,14,7,3,63,19*,15.75,46,136.95,0,0,8,1,2016
868,Akshdeep  Nath,8,5,0,61,24,12.2,57,107.01,0,0,5,2,2016
869,Evin  Lewis,3,3,0,48,32,16,52,92.3,0,0,4,2,2016
870,Colin  de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,4,2,2016
871,Piyush  Chawla,13,5,2,42,14*,14,37,113.51,0,0,4,2,2016
872,Ravichandran  Ashwin,14,6,1,42,17*,8.4,28,150,0,0,3,3,2016
873,Shivam  Dube,4,4,1,40,24,13.33,33,121.21,0,0,1,3,2016
874,Yusuf  Pathan,10,8,5,40,16*,13.33,45,88.88,0,0,1,1,2016
875,Rinku  Singh,5,3,1,37,30,18.5,34,108.82,0,0,1,2,2016
876,Rashid  Khan,15,8,3,34,17*,6.8,23,147.82,0,0,2,2,2016
877,Chris  Morris,9,6,0,32,17,5.33,37,86.48,0,0,1,2,2016
878,Mitchell  Santner,4,2,1,32,22,32,23,139.13,0,0,0,3,2016
879,Rahul  Tewatia,5,4,3,26,11*,26,22,118.18,0,0,2,1,2016
880,Umesh  Yadav,11,7,5,25,14,12.5,25,100,0,0,3,1,2016
881,Amit  Mishra,11,4,2,21,8,10.5,24,87.5,0,0,2,0,2016
882,Harpreet  Brar,2,1,1,20,20*,-,12,166.66,0,0,2,1,2016
883,Prayas  Ray Barman,1,1,0,19,19,19,24,79.16,0,0,2,0,2016
884,Keemo  Paul,8,6,1,18,7,3.6,24,75,0,0,1,1,2016
885,Ben  Cutting,3,3,1,18,13*,9,17,105.88,0,0,1,1,2016
886,Krishnappa  Gowtham,7,4,1,18,9,6,19,94.73,0,0,1,1,2016
887,Simran  Singh,1,1,0,16,16,16,17,94.11,0,0,1,1,2016
888,Alzarri  Joseph,3,2,2,15,15*,-,13,115.38,0,0,2,0,2016
889,Siddhesh  Lad,1,1,0,15,15,15,13,115.38,0,0,1,1,2016
890,Shardul  Thakur,10,3,1,14,12*,7,7,200,0,0,1,1,2016
891,Kagiso  Rabada,12,4,1,14,9,4.66,15,93.33,0,0,0,1,2016
892,Bhuvneshwar  Kumar,15,5,2,12,7*,4,19,63.15,0,0,1,0,2016
893,Kuldeep  Yadav,9,4,2,12,10*,6,8,150,0,0,1,0,2016
894,Rahul  Chahar,13,4,2,12,10,6,11,109.09,0,0,2,0,2016
895,Mitchell  McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,2,0,2016
896,Carlos  Brathwaite,2,2,0,11,6,5.5,10,110,0,0,1,0,2016
897,Ishant  Sharma,13,3,3,10,10*,-,3,333.33,0,0,1,1,2016
898,Shakib  Al Hasan,3,1,0,9,9,9,10,90,0,0,0,0,2016
899,Pawan  Negi,7,4,0,9,5,2.25,12,75,0,0,1,0,2016
900,Tim  Southee,3,1,1,9,9*,-,9,100,0,0,0,0,2016
901,David  Warner,12,12,2,692,100*,69.2,481,143.86,1,8,57,21,2017
902,KL  Rahul,14,14,3,593,100*,53.9,438,135.38,1,6,49,25,2017
903,Quinton  de Kock,16,16,1,529,81,35.26,398,132.91,0,4,45,25,2017
904,Shikhar  Dhawan,16,16,1,521,97*,34.73,384,135.67,0,5,64,11,2017
905,Andre  Russell,14,13,4,510,80*,56.66,249,204.81,0,4,31,52,2017
906,Chris  Gayle,13,13,1,490,99*,40.83,319,153.6,0,4,45,34,2017
907,Rishabh  Pant,16,16,3,488,78*,37.53,300,162.66,0,3,37,27,2017
908,Virat  Kohli,14,14,0,464,100,33.14,328,141.46,1,2,46,13,2017
909,Shreyas  Iyer,16,16,1,463,67,30.86,386,119.94,0,3,41,14,2017
910,Jonny  Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,48,18,2017
911,AB  de Villiers,13,13,3,442,82*,44.2,287,154,0,5,31,26,2017
912,Suryakumar  Yadav,16,15,2,424,71*,32.61,324,130.86,0,2,45,10,2017
913,MS  Dhoni,15,12,7,416,84*,83.2,309,134.62,0,3,22,23,2017
914,Chris  Lynn,13,13,0,405,82,31.15,290,139.65,0,4,41,22,2017
915,Rohit  Sharma,15,15,1,405,67,28.92,315,128.57,0,2,52,10,2017
916,Hardik  Pandya,16,15,6,402,91,44.66,210,191.42,0,1,28,29,2017
917,Shane  Watson,17,17,0,398,96,23.41,312,127.56,0,3,42,20,2017
918,Faf  du Plessis,12,12,1,396,96,36,321,123.36,0,3,36,15,2017
919,Ajinkya  Rahane,14,13,1,393,105*,32.75,285,137.89,1,1,45,9,2017
920,Suresh  Raina,17,17,1,383,59,23.93,314,121.97,0,3,45,9,2017
921,Parthiv  Patel,14,14,0,373,67,26.64,268,139.17,0,2,48,10,2017
922,Prithvi  Shaw,16,16,0,353,99,22.06,264,133.71,0,2,45,9,2017
923,Manish  Pandey,12,11,3,344,83*,43,263,130.79,0,3,34,6,2017
924,Nitish  Rana,14,11,1,344,85*,34.4,235,146.38,0,3,27,21,2017
925,Sanju  Samson,12,12,2,342,102*,34.2,230,148.69,1,0,28,13,2017
926,Mayank  Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,26,14,2017
927,Steve  Smith,12,10,2,319,73*,39.87,275,116,0,3,30,4,2017
928,Jos  Buttler,8,8,0,311,89,38.87,205,151.7,0,3,38,14,2017
929,Shubman  Gill,14,13,4,296,76,32.88,238,124.36,0,3,21,10,2017
930,Ambati  Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,20,7,2017
931,Robin  Uthappa,12,11,2,282,67*,31.33,245,115.1,0,1,28,10,2017
932,Kieron  Pollard,16,14,6,279,83,34.87,178,156.74,0,1,14,22,2017
933,Dinesh  Karthik,14,13,5,253,97*,31.62,173,146.24,0,2,22,14,2017
934,Vijay  Shankar,15,14,2,244,40*,20.33,193,126.42,0,0,11,12,2017
935,Moeen  Ali,11,10,2,220,66,27.5,133,165.41,0,2,16,17,2017
936,David  Miller,10,10,2,213,59*,26.62,164,129.87,0,1,19,7,2017
937,Marcus  Stoinis,10,10,6,211,46*,52.75,156,135.25,0,0,14,10,2017
938,Colin  Ingram,12,12,2,184,47,18.4,154,119.48,0,0,20,5,2017
939,Krunal  Pandya,16,15,4,183,42,16.63,150,122,0,0,18,5,2017
940,Sarfaraz  Khan,8,5,1,180,67,45,143,125.87,0,1,19,4,2017
941,Nicholas  Pooran,7,6,0,168,48,28,107,157,0,0,10,14,2017
942,Mandeep  Singh,13,12,8,165,33*,41.25,120,137.5,0,0,10,4,2017
943,Kedar  Jadhav,14,12,3,162,58,18,169,95.85,0,1,19,3,2017
944,Riyan  Parag,7,5,0,160,50,32,126,126.98,0,1,17,5,2017
945,Kane  Williamson,9,9,2,156,70*,22.28,130,120,0,1,12,5,2017
946,Sunil  Narine,12,9,1,143,47,17.87,86,166.27,0,0,17,9,2017
947,Rahul  Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,13,2,2017
948,Ben  Stokes,9,9,3,123,46,20.5,99,124.24,0,0,8,4,2017
949,Mohammad  Nabi,8,7,1,115,31,19.16,76,151.31,0,0,8,7,2017
950,Axar  Patel,14,12,6,110,26,18.33,88,125,0,0,10,3,2017
951,Ravindra  Jadeja,16,9,6,106,31*,35.33,88,120.45,0,0,7,4,2017
952,Ishan  Kishan,7,6,0,101,28,16.83,100,101,0,0,8,4,2017
953,Yuvraj  Singh,4,4,0,98,53,24.5,75,130.66,0,1,7,6,2017
954,Gurkeerat  Mann Singh,3,3,0,98,65,32.66,70,140,0,1,11,2,2017
955,Sam  Curran,9,8,4,95,55*,23.75,55,172.72,0,1,13,3,2017
956,Shimron  Hetmyer,5,5,0,90,75,18,73,123.28,0,1,4,7,2017
957,Wriddhiman  Saha,5,5,0,86,28,17.2,53,162.26,0,0,13,1,2017
958,Colin  Munro,4,4,0,84,40,21,70,120,0,0,9,4,2017
959,Martin  Guptill,3,3,0,81,36,27,53,152.83,0,0,4,7,2017
960,Dwayne  Bravo,12,9,4,80,27,16,66,121.21,0,0,6,3,2017
961,Sherfane  Rutherford,7,7,2,73,28*,14.6,54,135.18,0,0,2,7,2017
962,Liam  Livingstone,4,4,1,71,44,23.66,48,147.91,0,0,6,5,2017
963,Stuart  Binny,8,5,2,70,33*,23.33,40,175,0,0,5,4,2017
964,Jofra  Archer,11,5,3,67,27*,33.5,40,167.5,0,0,4,4,2017
965,Deepak  Hooda,11,7,1,64,20,10.66,63,101.58,0,0,5,1,2017
966,Murali  Vijay,2,2,0,64,38,32,61,104.91,0,0,6,1,2017
967,Shreyas  Gopal,14,7,3,63,19*,15.75,46,136.95,0,0,8,1,2017
968,Akshdeep  Nath,8,5,0,61,24,12.2,57,107.01,0,0,5,2,2017
969,Evin  Lewis,3,3,0,48,32,16,52,92.3,0,0,4,2,2017
970,Colin  de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,4,2,2017
971,Piyush  Chawla,13,5,2,42,14*,14,37,113.51,0,0,4,2,2017
972,Ravichandran  Ashwin,14,6,1,42,17*,8.4,28,150,0,0,3,3,2017
973,Shivam  Dube,4,4,1,40,24,13.33,33,121.21,0,0,1,3,2017
974,Yusuf  Pathan,10,8,5,40,16*,13.33,45,88.88,0,0,1,1,2017
975,Rinku  Singh,5,3,1,37,30,18.5,34,108.82,0,0,1,2,2017
976,Rashid  Khan,15,8,3,34,17*,6.8,23,147.82,0,0,2,2,2017
977,Chris  Morris,9,6,0,32,17,5.33,37,86.48,0,0,1,2,2017
978,Mitchell  Santner,4,2,1,32,22,32,23,139.13,0,0,0,3,2017
979,Rahul  Tewatia,5,4,3,26,11*,26,22,118.18,0,0,2,1,2017
980,Umesh  Yadav,11,7,5,25,14,12.5,25,100,0,0,3,1,2017
981,Amit  Mishra,11,4,2,21,8,10.5,24,87.5,0,0,2,0,2017
982,Harpreet  Brar,2,1,1,20,20*,-,12,166.66,0,0,2,1,2017
983,Prayas  Ray Barman,1,1,0,19,19,19,24,79.16,0,0,2,0,2017
984,Keemo  Paul,8,6,1,18,7,3.6,24,75,0,0,1,1,2017
985,Ben  Cutting,3,3,1,18,13*,9,17,105.88,0,0,1,1,2017
986,Krishnappa  Gowtham,7,4,1,18,9,6,19,94.73,0,0,1,1,2017
987,Simran  Singh,1,1,0,16,16,16,17,94.11,0,0,1,1,2017
988,Alzarri  Joseph,3,2,2,15,15*,-,13,115.38,0,0,2,0,2017
989,Siddhesh  Lad,1,1,0,15,15,15,13,115.38,0,0,1,1,2017
990,Shardul  Thakur,10,3,1,14,12*,7,7,200,0,0,1,1,2017
991,Kagiso  Rabada,12,4,1,14,9,4.66,15,93.33,0,0,0,1,2017
992,Bhuvneshwar  Kumar,15,5,2,12,7*,4,19,63.15,0,0,1,0,2017
993,Kuldeep  Yadav,9,4,2,12,10*,6,8,150,0,0,1,0,2017
994,Rahul  Chahar,13,4,2,12,10,6,11,109.09,0,0,2,0,2017
995,Mitchell  McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,2,0,2017
996,Carlos  Brathwaite,2,2,0,11,6,5.5,10,110,0,0,1,0,2017
997,Ishant  Sharma,13,3,3,10,10*,-,3,333.33,0,0,1,1,2017
998,Shakib  Al Hasan,3,1,0,9,9,9,10,90,0,0,0,0,2017
999,Pawan  Negi,7,4,0,9,5,2.25,12,75,0,0,1,0,2017
1000,Tim  Southee,3,1,1,9,9*,-,9,100,0,0,0,0,2017
1001,David  Warner,12,12,2,692,100*,69.2,481,143.86,1,8,57,21,2018
1002,KL  Rahul,14,14,3,593,100*,53.9,438,135.38,1,6,49,25,2018
1003,Quinton  de Kock,16,16,1,529,81,35.26,398,132.91,0,4,45,25,2018
1004,Shikhar  Dhawan,16,16,1,521,97*,34.73,384,135.67,0,5,64,11,2018
1005,Andre  Russell,14,13,4,510,80*,56.66,249,204.81,0,4,31,52,2018
1006,Chris  Gayle,13,13,1,490,99*,40.83,319,153.6,0,4,45,34,2018
1007,Rishabh  Pant,16,16,3,488,78*,37.53,300,162.66,0,3,37,27,2018
1008,Virat  Kohli,14,14,0,464,100,33.14,328,141.46,1,2,46,13,2018
1009,Shreyas  Iyer,16,16,1,463,67,30.86,386,119.94,0,3,41,14,2018
1010,Jonny  Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,48,18,2018
1011,AB  de Villiers,13,13,3,442,82*,44.2,287,154,0,5,31,26,2018
1012,Suryakumar  Yadav,16,15,2,424,71*,32.61,324,130.86,0,2,45,10,2018
1013,MS  Dhoni,15,12,7,416,84*,83.2,309,134.62,0,3,22,23,2018
1014,Chris  Lynn,13,13,0,405,82,31.15,290,139.65,0,4,41,22,2018
1015,Rohit  Sharma,15,15,1,405,67,28.92,315,128.57,0,2,52,10,2018
1016,Hardik  Pandya,16,15,6,402,91,44.66,210,191.42,0,1,28,29,2018
1017,Shane  Watson,17,17,0,398,96,23.41,312,127.56,0,3,42,20,2018
1018,Faf  du Plessis,12,12,1,396,96,36,321,123.36,0,3,36,15,2018
1019,Ajinkya  Rahane,14,13,1,393,105*,32.75,285,137.89,1,1,45,9,2018
1020,Suresh  Raina,17,17,1,383,59,23.93,314,121.97,0,3,45,9,2018
1021,Parthiv  Patel,14,14,0,373,67,26.64,268,139.17,0,2,48,10,2018
1022,Prithvi  Shaw,16,16,0,353,99,22.06,264,133.71,0,2,45,9,2018
1023,Manish  Pandey,12,11,3,344,83*,43,263,130.79,0,3,34,6,2018
1024,Nitish  Rana,14,11,1,344,85*,34.4,235,146.38,0,3,27,21,2018
1025,Sanju  Samson,12,12,2,342,102*,34.2,230,148.69,1,0,28,13,2018
1026,Mayank  Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,26,14,2018
1027,Steve  Smith,12,10,2,319,73*,39.87,275,116,0,3,30,4,2018
1028,Jos  Buttler,8,8,0,311,89,38.87,205,151.7,0,3,38,14,2018
1029,Shubman  Gill,14,13,4,296,76,32.88,238,124.36,0,3,21,10,2018
1030,Ambati  Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,20,7,2018
1031,Robin  Uthappa,12,11,2,282,67*,31.33,245,115.1,0,1,28,10,2018
1032,Kieron  Pollard,16,14,6,279,83,34.87,178,156.74,0,1,14,22,2018
1033,Dinesh  Karthik,14,13,5,253,97*,31.62,173,146.24,0,2,22,14,2018
